Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
203,D,ELL739,ADVANCED SEMICONDUCTOR DEVICES,3,3-0-0,MADHUSUDAN SINGH,60,7
204,D,ELL802,ADAPTIVE AND LEARNING CONTROL,3,3-0-0,SHUBHENDU BHASIN,60,18
205,D,ELL883,EMBEDDED INTELLIGENCE,3,3-0-0,SANTANU CHAUDHURY,60,18
206,D,EPL444,FUNCTIONAL NANOSTRUCTURES,3,3-0-0,RAJENDRA SINGH,90,4
207,D,ESL734,NUCLEAR ENERGY,3,3-0-0,RAMESH NARAYANAN,60,23
208,D,ITL730,LUBRICANTS,3,2-0-2,JAYASHREE BIJWE,40,14
209,D,MCL142,THERMAL SC. FOR ELE. ENGINEERS,3,3-0-0,SUBHRA DATTA,120,90
210,D,MCL212,CONTROL THEORY & APPLICATIONS,4,3-0-2,SATINDER PAUL SINGH,0,122
211,D,MCL348,THERMAL MGMT. OF ELECTRONICS,3,3-0-0,SUPREET SINGH BAHGA,0,0
212,D,MCL730,Designing with Advance Materials,4,3-0-2,NARESH VARMA DATLA,0,71
213,D,MCL754,OPERATIONS PLANNING AND CONTRO,3,3-0-0,NOMESH BHOJKUMAR BOLIA,0,23
214,D,MCL815,Fire Dynamics and Engineering,4,2-0-4,S.R. KALE,0,3
215,D,MSL760,MARKETING MANAGEMENT,3,2-0-2,HARISH CHAUDHRY,115,65
216,D,MTL103,OPTIMIZATION METHODS & APPL.,3,3-0-0,S.CHANDRA SEKHARA RAO,150,35
217,D,MTL106,PROBABILITY & STOCHASTIC PRO.,4,03-01-00,S.DHARMARAJA,200,272
218,D,MTL108,INTRODUCTION TO STATISTICS,4,03-01-00,APARNA MEHRA,150,214
219,D,PHL657,PLASMA PHYSICS,3,3-0-0,HITENDRA KUMAR MALIK,90,67
220,D,PHL702,SCIENCE AND TECHNOLOGY OF THIN FILMS,3,3-0-0,G.B. REDDY,90,1
221,D,PHL752,LASER SYSTEMS AND APPLICATIONS,3,3-0-0,GADDAM VIJAYA PRAKASH,90,0
222,D,PTL716,RUBBER TECHNOLOGY,3,3-0-0,JOSEMON JACOB,30,16
223,D,PYL114,SOLID STATE PHYSICS,4,03-01-00,RATANAMALA CHATTERJEE,95,64
224,D,PYL311,LASERS,3,3-0-0,ALOKA SINHA,90,10
225,D,PYL421,FUNCTIONAL NANOSTRUCTURES,3,3-0-0,RAJENDRA SINGH,90,2
226,D,PYL704,SC. & TECHNOLOGY OF THIN FILMS,3,3-0-0,G.B. REDDY,90,19
227,D,PYL728,QUANTUM HETEROSTRUCTURES,2,2-0-0,AMARTYA SENGUPTA,90,2
228,D,PYL752,Laser Systems and Applications,3,3-0-0,GADDAM VIJAYA PRAKASH,90,11
229,D,PYL892,GUIDED WAVE PHOTONIC SENSORS,3,3-0-0,ARUN KUMAR,90,13
230,D,SBL711,CELL SIGNALING,3,3-0-0,CHINMOY SANKAR DEY,60,8
231,D,SIL802,SPECIAL TOPICS IN WEB BASED COMPUTING,3,3-0-0,AADITESHWAR SETH,10,1
232,D,TXL211,STRUCTURE & PHYSICAL PROPERTIE,3,3-0-0,RAJIV K. SRIVASTAVA,120,82
233,D,TXL361,EVALUATION OF TEXTILE MATERIAL,3,3-0-0,BHUPENDRA SINGH BUTOLA,120,55
234,D,TXL715,Technology of Solution Spun Fibers,3,3-0-0,MANJEET JASSAL,75,17
235,D,TXL775,TECHNICAL TEXTILES,3,3-0-0,APURBA DAS,75,29
236,D,TXP361,EVALUATION OF TEXTILES LAB,1,0-0-2,SAMRAT MUKHOPADHYAY,120,80
,61,,,,,,4487,2668
237,DM,MTL100,CALCULUS,4,03-01-00,KONIJETI SREENADH,230,20
,1,,,,,,230,20
238,DM,MTL101,LINEAR ALGEBRA & DIFFE. EQUA.,4,03-01-00,AMIT PRIYADARSHI,230,16
,1,,,,,,230,16
239,DP,MTL100,CALCULUS,4,03-01-00,KONIJETI SREENADH,230,31
